,妹妹也真是的，線索也藏的太仔細了，該說是她很謹慎嗎？,hello.mp3
,她的日記為什麼能提供這麼多的線索？寫日記的時間也非常不合常理，似乎有什麼規律，究竟是為甚麼？,hello.mp3
,日期的排列會有甚麼意義嗎？好像看過這些日期在某個東西上的位置很接近……,hello.mp3
,如果把這些日期做一些算術組合，好像也可以得到什麼？例如這幾個日期，月和日的和或是差……,hello.mp3
,不確定呢，是我想太多了嗎？,hello.mp3
,太奇怪了，難道她早在去年就已經知道自己可能有危險，為此準備了這一切？但是不對阿，河北馬鈴薯王是個兇殘的罪犯，撕票案件層出不窮，怎麼可能為了這次做案等了六個月……完全說不通！,hello.mp3
,難道這一切……河北馬鈴薯王究竟是……,hello.mp3
,此時，河北馬鈴薯王打來了電話。,hello.mp3
我,喂？,hello.mp3
馬鈴薯王,……,hello.mp3
我,……,hello.mp3
馬鈴薯王,……,hello.mp3
我,河北馬鈴薯王？,hello.mp3
馬鈴薯王,竟然去了湖那裏阿，不怕妹妹沒命嗎？,hello.mp3
我,妹妹說有個約定什麼的……時間還有幾分鐘，錢我剛剛已經準備好了，輪不到你這傢伙來擔心。,hello.mp3
馬鈴薯王,……(輕笑聲),hello.mp3
我,你笑什麼？,hello.mp3
馬鈴薯王,……,hello.mp3
我,慢著，該不會……,hello.mp3
馬鈴薯王,……,hello.mp3
我,哈哈……果然是這樣的嗎,hello.mp3
我,都這麼大了你還是一樣的頑皮呢。,hello.mp3
,（掛斷電話）,hello.mp3
,（收到日記+一個文件）,hello.mp3
,真是個搗蛋鬼，這次又是些什麼內容呢？,hello.mp3
